Programme Code,Programme Name,Year,Course Code,Alternative,Handbook Year
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 1,ACC1006F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 1,BUS1036F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 1,CSC1015F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 1,ECO1010F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 1,MAM1031F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 1,MAM1032S,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 1,BUS1003H,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 1,ACC1011S,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 1,ECO1011S,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 1,STA1006S,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 2,CML1001F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 2,ECO2003F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 2,STA2004F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 2,MAM2011F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 2,MAM2012S,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 2,BUS2016H,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 2,ECO2004S,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 2,FTX2024S,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 2,STA2005S,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 3,BUS3018F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 3,BUS3039F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 3,STA3041F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 3,STA3045F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 3,BUS3024S,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 3,PHI2043S,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 3,STA3047S,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 3,STA3048S,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 4,BUS4028F,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 4,BUS4027W,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 4,BUS4050W,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 4,BUS4029H,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 4,BUS4034S,,2024
CB003BUS01,Bachelor of Business Science in Actuarial Science,Year 4,BUS2016H,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 1,ACC1006F,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 1,BUS1036F,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 1,CSC1015F,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 1,ECO1010F,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 1,MAM1031F,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 1,MAM1032S,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 1,BUS1003H,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 1,ACC1011S,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 1,ECO1011S,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 1,STA1006S,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 2,CML1001F,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 2,ECO2003F,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 2,STA2004F,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 2,MAM2010F,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 2,MAM2011F,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 2,MAM2012S,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 2,MAM2014S,,2024
CB018BUS09,Bachelor of Business Science in Actuarial Science specialising in Quantitative Finance,Year 2,BUS2016H,,2024
