programme_code,programme_name,year,course_code,alternative_course
CB003BUS01,BBusSc in Actuarial Science,Year 1,ACC1006F,
CB003BUS01,BBusSc in Actuarial Science,Year 1,BUS1036F,
CB003BUS01,BBusSc in Actuarial Science,Year 1,CSC1015F,
CB003BUS01,BBusSc in Actuarial Science,Year 1,ECO1010F,
CB003BUS01,BBusSc in Actuarial Science,Year 1,MAM1031F,
CB003BUS01,BBusSc in Actuarial Science,Year 1,MAM1032S,
CB003BUS01,BBusSc in Actuarial Science,Year 1,BUS1003H,
CB003BUS01,BBusSc in Actuarial Science,Year 1,ACC1011S,
CB003BUS01,BBusSc in Actuarial Science,Year 1,ECO1011S,
CB003BUS01,BBusSc in Actuarial Science,Year 1,STA1006S,
CB003BUS01,BBusSc in Actuarial Science,Year 2,CML1001F,
CB003BUS01,BBusSc in Actuarial Science,Year 2,ECO2003F,
CB003BUS01,BBusSc in Actuarial Science,Year 2,STA2004F,
CB003BUS01,BBusSc in Actuarial Science,Year 2,MAM2010F,
CB003BUS01,BBusSc in Actuarial Science,Year 2,MAM2011F,
CB003BUS01,BBusSc in Actuarial Science,Year 2,MAM2012S,
CB003BUS01,BBusSc in Actuarial Science,Year 2,MAM2014S,
CB003BUS01,BBusSc in Actuarial Science,Year 2,BUS2016H,
CB003BUS01,BBusSc in Actuarial Science,Year 2,ECO2004S,
CB003BUS01,BBusSc in Actuarial Science,Year 2,FTX2024S,
CB003BUS01,BBusSc in Actuarial Science,Year 2,STA2005S,
CB003BUS01,BBusSc in Actuarial Science,Year 3,BUS3018F,
CB003BUS01,BBusSc in Actuarial Science,Year 3,BUS3039F,
CB003BUS01,BBusSc in Actuarial Science,Year 3,STA3041F,
CB003BUS01,BBusSc in Actuarial Science,Year 3,STA3045F,
CB003BUS01,BBusSc in Actuarial Science,Year 3,BUS3024S,
CB003BUS01,BBusSc in Actuarial Science,Year 3,PHI2043S,
CB003BUS01,BBusSc in Actuarial Science,Year 3,STA3047S,
CB003BUS01,BBusSc in Actuarial Science,Year 3,STA3048S,
CB003BUS01,BBusSc in Actuarial Science,Year 4,BUS4028F,
CB003BUS01,BBusSc in Actuarial Science,Year 4,BUS4027W,
CB003BUS01,BBusSc in Actuarial Science,Year 4,BUS4050H,
CB003BUS01,BBusSc in Actuarial Science,Year 4,BUS4029H,
CB003BUS01,BBusSc in Actuarial Science,Year 4,BUS4034S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 1,ACC1006F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 1,BUS1036F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 1,CSC1015F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 1,ECO1010F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 1,MAM1031F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 1,MAM1032S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 1,BUS1003H,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 1,ACC1011S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 1,ECO1011S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 1,STA1006S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 2,CML1001F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 2,ECO2003F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 2,STA2004F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 2,MAM2010F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 2,MAM2011F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 2,MAM2012S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 2,MAM2014S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 2,BUS2016H,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 2,ECO2004S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 2,FTX2024S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 2,STA2005S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 3,BUS2033F/S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 3,BUS3039F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 3,FTX3044F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 3,STA3041F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 3,STA3045F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 3,FTX3045S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 3,PHI2043S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 3,STA3047S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 3,STA3048S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 4,BUS4028F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 4,FTX4086F,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 4,BUS4050H,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 4,BUS4053H,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 4,BUS4087S,
CB003BUS09,BBusSc in Actuarial Science (Quantitative Finance),Year 4,FTX4056S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 1,ACC1021F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 1,ACC1022Z,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 1,BUS1036F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 1,ECO1010F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 1,CSC1015F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 1,MAM1031F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 1,MAM1032S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 1,ECO1011S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 1,CSC1016S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 1,STA1000S,STA1006S
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 1,STA1006S,STA1000S
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 2,ECO2003F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 2,MAM2010F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 2,MAM2011F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 2,MAM2012S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 2,MAM2014S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 2,PHI2043S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 2,BUS2010F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 2,CML1004S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 2,ECO2004S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 2,STA2004F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 2,STA2005S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 2,STA2020F/S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 2,STA2030S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,FTX2020F,FTX2024S
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,FTX2024S,FTX2020F
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,BUS2033S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,BUS3039S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,CSC2001F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,CSC2002S,ECO3021S
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,ECO3021S,CSC2002S
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,INF2006F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,INF2007F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,ECO3021S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,STA3022F,STA3045F
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,STA3045F,STA3022F
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,STA3041F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,STA3043S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,STA3030F,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 3,STA3036S,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 4,STA4010W,
CB004STA13,BBusSc specialising in Statistics and Data Sciences,Year 4,BUS4050H,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 1,ACC1021F,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 1,ACC1022Z,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 1,ECO1010F,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 1,INF1002F,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 1,MAM1010F,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 1,BUS1036S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 1,ECO1011S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 1,MAM1012S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 1,STA1000S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 2,BUS2010F,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 2,CML1001F,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 2,ECO2003F,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 2,STA2020F/S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 2,ACC2022H,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 2,ECO2007S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 2,ECO2004S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 2,FTX2024S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 2,PHI2043S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 3,ECO3020F,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 3,FTX3044F,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 3,STA3022F,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 3,ECO3021S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 3,BUS2033F/S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 3,BUS3039S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 3,FTX3045S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 4,FTX4057F,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 4,FTX4086F,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 4,BUS4050H,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 4,FTX4051H,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 4,FTX4056S,
CB004FTX05,"BBusSc specialising in Finance, Investment and Banking",Year 4,FTX4087S,
