programme_code,programme_name,year,course_code,alternative_course,year_raw
CB003BUS01,,1,ACC1006F,,First Year
CB003BUS01,,1,BUS1036F,,First Year
CB003BUS01,,1,CSC1015F,,First Year
CB003BUS01,,1,ECO1010F,,First Year
CB003BUS01,,1,MAM1031F,,First Year
CB003BUS01,,1,MAM1032S,,First Year
CB003BUS01,,1,BUS1003H,,First Year
CB003BUS01,,1,ACC1011S,,First Year
CB003BUS01,,1,ECO1011S,,First Year
CB003BUS01,,1,STA1006S,,First Year
CB003BUS01,,2,CML1001F,,Second Year
CB003BUS01,,2,ECO2003F,,Second Year
CB003BUS01,,2,STA2004F,,Second Year
CB003BUS01,,2,MAM2010F,,Second Year
CB003BUS01,,2,MAM2011F,,Second Year
CB003BUS01,,2,MAM2012S,,Second Year
CB003BUS01,,2,MAM2014S,,Second Year
CB003BUS01,,2,BUS2016H,,Second Year
CB003BUS01,,2,ECO2004S,,Second Year
CB003BUS01,,2,FTX2024S,,Second Year
CB003BUS01,,2,STA2005S,,Second Year
CB003BUS01,,3,BUS3018F,,Third Year
CB003BUS01,,3,BUS3039F,,Third Year
CB003BUS01,,3,STA3041F,,Third Year
CB003BUS01,,3,STA3045F,,Third Year
CB003BUS01,,3,BUS3024S,,Third Year
CB003BUS01,,3,PHI2043S,,Third Year
CB003BUS01,,3,STA3047S,,Third Year
CB003BUS01,,3,STA3048S,,Third Year
CB003BUS01,,4,BUS4028F,,Fourth Year
CB003BUS01,,4,BUS4027W,,Fourth Year
CB003BUS01,,4,BUS4050H,,Fourth Year
CB003BUS01,,4,BUS4029H,,Fourth Year
CB003BUS01,,4,BUS4034S,,Fourth Year
CB003BUS01,,4,BUS2016H,,Fourth Year
CB003BUS09,,1,ACC1006F,,First Year
CB003BUS09,,1,BUS1036F,,First Year
CB003BUS09,,1,CSC1015F,,First Year
CB003BUS09,,1,ECO1010F,,First Year
CB003BUS09,,1,MAM1031F,,First Year
CB003BUS09,,1,MAM1032S,,First Year
CB003BUS09,,1,BUS1003H,,First Year
CB003BUS09,,1,ACC1011S,,First Year
CB003BUS09,,1,ECO1011S,,First Year
CB003BUS09,,1,STA1006S,,First Year
CB003BUS09,,2,CML1001F,,Second Year
CB003BUS09,,2,ECO2003F,,Second Year
CB003BUS09,,2,STA2004F,,Second Year
CB003BUS09,,2,MAM2010F,,Second Year
CB003BUS09,,2,MAM2011F,,Second Year
CB003BUS09,,2,MAM2012S,,Second Year
CB003BUS09,,2,MAM2014S,,Second Year
CB003BUS09,,2,BUS2016H,,Second Year
CB003BUS09,,2,ECO2004S,,Second Year
CB003BUS09,,2,FTX2024S,,Second Year
CB003BUS09,,2,STA2005S,,Second Year
CB003BUS09,,3,BUS2033F,,Third Year
CB003BUS09,,3,BUS3039F,,Third Year
CB003BUS09,,3,FTX3044F,,Third Year
CB003BUS09,,3,STA3041F,,Third Year
CB003BUS09,,3,STA3045F,,Third Year
CB003BUS09,,3,FTX3045S,,Third Year
CB003BUS09,,3,PHI2043S,,Third Year
CB003BUS09,,3,STA3047S,,Third Year
CB003BUS09,,3,STA3048S,,Third Year
CB003BUS09,,4,BUS4028F,,Fourth Year
CB003BUS09,,4,FTX4086F,,Fourth Year
CB003BUS09,,4,BUS4050H,,Fourth Year
CB003BUS09,,4,BUS4053H,,Fourth Year
CB003BUS09,,4,BUS4087S,,Fourth Year
CB003BUS09,,4,FTX4056S,,Fourth Year
CB003BUS09,,4,STA1006S,,Fourth Year
CB003BUS09,,4,MAM1031F,MAM1032S,Fourth Year
CB003BUS09,,4,STA4010W,,Fourth Year
CB003BUS09,,4,MAM2010F,,Fourth Year
CB003BUS09,,4,MAM2012S,MAM2013S,Fourth Year
CB004STA13,,1,ACC1021F,,First Year
CB004STA13,,1,ACC1022Z,,First Year
CB004STA13,,1,BUS1036F,,First Year
CB004STA13,,1,ECO1010F,,First Year
CB004STA13,,1,CSC1015F,,First Year
CB004STA13,,1,MAM1031F,,First Year
CB004STA13,,1,MAM1032S,,First Year
CB004STA13,,1,ECO1011S,,First Year
CB004STA13,,1,CSC1016S,,First Year
CB004STA13,,1,STA1000S,,First Year
CB004STA13,,1,STA1006S,,First Year
CB004STA13,,2,ECO2003F,,Second Year
CB004STA13,,2,MAM2010F,,Second Year
CB004STA13,,2,MAM2011F,,Second Year
CB004STA13,,2,MAM2012S,,Second Year
CB004STA13,,2,MAM2014S,,Second Year
CB004STA13,,2,PHI2043S,,Second Year
CB004STA13,,2,BUS2010F,,Second Year
CB004STA13,,2,CML1004S,,Second Year
CB004STA13,,2,ECO2004S,,Second Year
CB004STA13,,2,STA2004F,,Second Year
CB004STA13,,2,STA2005S,,Second Year
CB004STA13,,2,STA2020F,,Second Year
CB004STA13,,2,STA2030S,,Second Year
CB004STA13,,3,FTX2020F,,Third Year
CB004STA13,,3,FTX2024S,,Third Year
CB004STA13,,3,BUS2033S,,Third Year
